,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
2935,unauthorised trafficking of LSD (not insignificant amounts),f,1.0,0.0,1.0,unauthorised trafficking pursuant to sect. 29a (1) no. 2 NCA (significant amounts),f,820.0,100.0,720.0,violations pursuant to sect. 30a NCA,f,119.0,16.0,103.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,f,22.0,11.0,11.0,smuggling of amphetamine and its derivatives in tablet or capsule form (ecstasy),f,24.0,9.0,15.0,smuggling of amphetamine and its derivatives in tablet or capsule form (ecstasy),W,19.0,2.0,17.0,smuggling of amphetamine and its derivatives in tablet or capsule form (ecstasy),W,17.0,5.0,12.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,W,11.0,1.0,10.0,general violation - involving cocaine,W,1723,257,1466,general violation - involving LSD,f,110.0,58.0,52.0
2936,unauthorised trafficking of LSD (not insignificant amounts),x,8.0,2.0,6.0,unauthorised trafficking pursuant to sect. 29a (1) no. 2 NCA (significant amounts),x,8155.0,1187.0,6968.0,violations pursuant to sect. 30a NCA,x,1183.0,147.0,1036.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,x,178.0,81.0,97.0,smuggling of amphetamine and its derivatives in tablet or capsule form (ecstasy),x,175.0,43.0,132.0,smuggling of amphetamine and its derivatives in tablet or capsule form (ecstasy),X,215.0,41.0,174.0,smuggling of amphetamine and its derivatives in tablet or capsule form (ecstasy),X,182.0,39.0,143.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,X,119.0,17.0,102.0,general violation - involving cocaine,X,16332,1725,14607,general violation - involving LSD,x,580.0,197.0,383.0
2937,unauthorised trafficking of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (significant amounts),m,1165.0,102.0,1063.0,unauthorised trafficking of heroin (not insignificant amounts),m,454.0,24.0,430.0,making available funds or other assets (sect. 29 (1) no. 13 NCA),m,16.0,6.0,10.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",m,341.0,33.0,308.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",m,1621.0,246.0,1375.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,1416.0,215.0,1201.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,1391.0,211.0,1180.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),M,1065.0,134.0,931.0,general violation - involving LSD,M,526,185,341,general violation - involving new psychoactive substances (NCA),w,1236.0,134.0,1102.0
2938,unauthorised trafficking of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (significant amounts),f,170.0,19.0,151.0,unauthorised trafficking of heroin (not insignificant amounts),f,84.0,1.0,83.0,making available funds or other assets (sect. 29 (1) no. 13 NCA),f,4.0,2.0,2.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",f,139.0,18.0,121.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",f,374.0,53.0,321.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,323.0,45.0,278.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,367.0,51.0,316.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),W,281.0,32.0,249.0,general violation - involving LSD,W,131,69,62,general violation - involving new psychoactive substances (NCA),f,162.0,29.0,133.0
2939,unauthorised trafficking of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (significant amounts),x,1335.0,121.0,1214.0,unauthorised trafficking of heroin (not insignificant amounts),x,538.0,25.0,513.0,making available funds or other assets (sect. 29 (1) no. 13 NCA),x,20.0,8.0,12.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",x,480.0,51.0,429.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",x,1995.0,299.0,1696.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,1739.0,260.0,1479.0,"unauthorised trafficking and smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,1758.0,262.0,1496.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),X,1346.0,166.0,1180.0,general violation - involving LSD,X,657,254,403,general violation - involving new psychoactive substances (NCA),m,1398.0,163.0,1235.0
2940,"unauthorised trafficking of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",m,591.0,33.0,558.0,unauthorised trafficking of cocaine including crack (not insignificant amounts),m,920.0,49.0,871.0,advertising drugs (sect. 29 (1) no. 8 NCA),m,3.0,3.0,0.0,smuggling of methamphetamine in powder or liquid form,m,31.0,4.0,27.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",m,1326.0,227.0,1099.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,1197.0,202.0,995.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,1219.0,204.0,1015.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,M,63.0,31.0,32.0,general violation - involving new psychoactive substances (NCA),M,1395,157,1238,unauthorised trafficking in/smuggling of new psychoactive substances (NCA),x,23447.0,3100.0,20347.0
2941,"unauthorised trafficking of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",f,126.0,10.0,116.0,unauthorised trafficking of cocaine including crack (not insignificant amounts),f,80.0,6.0,74.0,advertising drugs (sect. 29 (1) no. 8 NCA),f,1.0,0.0,1.0,smuggling of methamphetamine in powder or liquid form,f,12.0,0.0,12.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",f,299.0,47.0,252.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,263.0,39.0,224.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,314.0,49.0,265.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,W,14.0,5.0,9.0,general violation - involving new psychoactive substances (NCA),W,235,35,200,unauthorised trafficking in/smuggling of new psychoactive substances (NCA),f,4840.0,1092.0,3748.0
2942,"unauthorised trafficking of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",x,717.0,43.0,674.0,unauthorised trafficking of cocaine including crack (not insignificant amounts),x,1000.0,55.0,945.0,advertising drugs (sect. 29 (1) no. 8 NCA),x,4.0,3.0,1.0,smuggling of methamphetamine in powder or liquid form,x,43.0,4.0,39.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",x,1625.0,274.0,1351.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,1460.0,241.0,1219.0,"unauthorised trafficking - involving methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,1533.0,253.0,1280.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,X,77.0,36.0,41.0,general violation - involving new psychoactive substances (NCA),X,1630,192,1438,unauthorised trafficking in/smuggling of new psychoactive substances (NCA),w,28287.0,4192.0,24095.0
2943,unauthorised trafficking of cannabis and preparations thereof (not insignificant amounts),m,3429.0,669.0,2760.0,unauthorised trafficking of LSD (not insignificant amounts),m,9.0,1.0,8.0,"dispensing, administering, or making available drugs to minors (sect. 29a (1) no. 1; where applicable sect. 30 (1) no. 2 NCA)",m,2097.0,0.0,2097.0,smuggling of methamphetamine in crystalline form (crystal),m,306.0,28.0,278.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,m,186.0,43.0,143.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,M,153.0,38.0,115.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,M,134.0,18.0,116.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,205.0,12.0,193.0,unauthorised trafficking in/smuggling of new psychoactive substances (NCA),M,24819,3463,21356,unauthorised trafficking in new psychoactive substances (NCA),m,19192.0,2051.0,17141.0
2944,unauthorised trafficking of cannabis and preparations thereof (not insignificant amounts),f,345.0,70.0,275.0,unauthorised trafficking of LSD (not insignificant amounts),f,1.0,0.0,1.0,"dispensing, administering, or making available drugs to minors (sect. 29a (1) no. 1; where applicable sect. 30 (1) no. 2 NCA)",f,262.0,0.0,262.0,smuggling of methamphetamine in crystalline form (crystal),f,127.0,18.0,109.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,f,21.0,6.0,15.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,W,24.0,5.0,19.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,W,22.0,5.0,17.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,57.0,5.0,52.0,unauthorised trafficking in/smuggling of new psychoactive substances (NCA),W,5010,1223,3787,unauthorised trafficking in new psychoactive substances (NCA),f,3817.0,629.0,3188.0
2945,unauthorised trafficking of cannabis and preparations thereof (not insignificant amounts),x,3774.0,739.0,3035.0,unauthorised trafficking of LSD (not insignificant amounts),x,10.0,1.0,9.0,"dispensing, administering, or making available drugs to minors (sect. 29a (1) no. 1; where applicable sect. 30 (1) no. 2 NCA)",x,2359.0,0.0,2359.0,smuggling of methamphetamine in crystalline form (crystal),x,433.0,46.0,387.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,x,207.0,49.0,158.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,X,177.0,43.0,134.0,unauthorised trafficking - involving methamphetamine in powder or liquid form,X,156.0,23.0,133.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,262.0,17.0,245.0,unauthorised trafficking in/smuggling of new psychoactive substances (NCA),X,29829,4686,25143,unauthorised trafficking in new psychoactive substances (NCA),x,23009.0,2680.0,20329.0
2946,unauthorised trafficking of other drugs (not insignificant amounts),m,339.0,40.0,299.0,unauthorised trafficking of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (significant amounts),m,1521.0,164.0,1357.0,"dispensing, administering, or making available drugs to minors (sect. 29a (1) no. 1 NCA)",m,1878.0,0.0,1878.0,smuggling of methamphetamine in tablet or capsule form,m,5.0,1.0,4.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),m,1005.0,122.0,883.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),M,941.0,116.0,825.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),M,1000.0,140.0,860.0,smuggling of methamphetamine in powder or liquid form,M,25.0,2.0,23.0,unauthorised trafficking in new psychoactive substances (NCA),M,20951,2364,18587,smuggling of new psychoactive substances (NCA),w,4570.0,1121.0,3449.0
2947,unauthorised trafficking of other drugs (not insignificant amounts),f,46.0,3.0,43.0,unauthorised trafficking of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (significant amounts),f,191.0,23.0,168.0,"dispensing, administering, or making available drugs to minors (sect. 29a (1) no. 1 NCA)",f,249.0,0.0,249.0,smuggling of methamphetamine in tablet or capsule form,f,1.0,0.0,1.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),f,268.0,35.0,233.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),W,224.0,32.0,192.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),W,281.0,37.0,244.0,smuggling of methamphetamine in powder or liquid form,W,6.0,0.0,6.0,unauthorised trafficking in new psychoactive substances (NCA),W,4026,731,3295,smuggling of new psychoactive substances (NCA),f,1070.0,479.0,591.0
2948,unauthorised trafficking of other drugs (not insignificant amounts),x,385.0,43.0,342.0,unauthorised trafficking of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (significant amounts),x,1712.0,187.0,1525.0,"dispensing, administering, or making available drugs to minors (sect. 29a (1) no. 1 NCA)",x,2127.0,0.0,2127.0,smuggling of methamphetamine in tablet or capsule form,x,6.0,1.0,5.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),x,1273.0,157.0,1116.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),X,1165.0,148.0,1017.0,unauthorised trafficking - involving methamphetamine in crystalline form (crystal),X,1281.0,177.0,1104.0,smuggling of methamphetamine in powder or liquid form,X,31.0,2.0,29.0,unauthorised trafficking in new psychoactive substances (NCA),X,24977,3095,21882,smuggling of new psychoactive substances (NCA),m,5640.0,1600.0,4040.0
2949,unauthorised production pursuant to sect. 29a (1) no. 2 NCA (not insignificant amounts),m,614.0,37.0,577.0,"unauthorised trafficking of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",m,570.0,41.0,529.0,"dispensing, administering, or making available drugs to minors on a commercial basis (sect. 30 (1) no. 2 NCA)",m,233.0,0.0,233.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,m,26976.0,11689.0,15287.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,m,140.0,64.0,76.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,M,103.0,48.0,55.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,M,92.0,46.0,46.0,smuggling of methamphetamine in crystalline form (crystal),M,176.0,10.0,166.0,smuggling of new psychoactive substances (NCA),M,4200,1174,3026,unauthorised importation of new psychoactive substances (not insignificant amounts) (NCA),x,5659.0,478.0,5181.0
2950,unauthorised production pursuant to sect. 29a (1) no. 2 NCA (not insignificant amounts),f,83.0,6.0,77.0,"unauthorised trafficking of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",f,114.0,10.0,104.0,"dispensing, administering, or making available drugs to minors on a commercial basis (sect. 30 (1) no. 2 NCA)",f,13.0,0.0,13.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,f,2212.0,871.0,1341.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,f,10.0,6.0,4.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,W,16.0,3.0,13.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,W,15.0,8.0,7.0,smuggling of methamphetamine in crystalline form (crystal),W,50.0,4.0,46.0,smuggling of new psychoactive substances (NCA),W,1037,512,525,unauthorised importation of new psychoactive substances (not insignificant amounts) (NCA),f,1351.0,173.0,1178.0
2951,unauthorised production pursuant to sect. 29a (1) no. 2 NCA (not insignificant amounts),x,697.0,43.0,654.0,"unauthorised trafficking of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",x,684.0,51.0,633.0,"dispensing, administering, or making available drugs to minors on a commercial basis (sect. 30 (1) no. 2 NCA)",x,246.0,0.0,246.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,x,29188.0,12560.0,16628.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,x,150.0,70.0,80.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,X,119.0,51.0,68.0,unauthorised trafficking - involving methamphetamine in tablet or capsule form,X,107.0,54.0,53.0,smuggling of methamphetamine in crystalline form (crystal),X,226.0,14.0,212.0,smuggling of new psychoactive substances (NCA),X,5237,1686,3551,unauthorised importation of new psychoactive substances (not insignificant amounts) (NCA),w,7010.0,651.0,6359.0
2952,unauthorised production of heroin (not insignificant amounts),m,2.0,0.0,2.0,unauthorised trafficking of cannabis and preparations thereof (not insignificant amounts),m,3554.0,767.0,2787.0,"negligently causing another's death by handing over, etc. of drugs (sect. 30 (1) no. 3 NCA)",m,18.0,1.0,17.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,m,21023.0,10415.0,10608.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",m,299.0,19.0,280.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,222.0,13.0,209.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",M,176.0,7.0,169.0,smuggling of methamphetamine in tablet or capsule form,M,6.0,0.0,6.0,unauthorised importation of new psychoactive substances (not insignificant amounts) (NCA),M,6118,533,5585,unauthorised dispensing and possession of  new psychoactive substances (not insignificant amounts) (NCA),m,802.0,85.0,717.0
2953,unauthorised production of heroin (not insignificant amounts),f,0.0,0.0,0.0,unauthorised trafficking of cannabis and preparations thereof (not insignificant amounts),f,298.0,56.0,242.0,"negligently causing another's death by handing over, etc. of drugs (sect. 30 (1) no. 3 NCA)",f,5.0,0.0,5.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,f,1548.0,683.0,865.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",f,76.0,6.0,70.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,60.0,6.0,54.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",W,53.0,2.0,51.0,smuggling of methamphetamine in tablet or capsule form,W,1.0,1.0,0.0,unauthorised importation of new psychoactive substances (not insignificant amounts) (NCA),W,1476,200,1276,unauthorised dispensing and possession of  new psychoactive substances (not insignificant amounts) (NCA),f,148.0,22.0,126.0
2954,unauthorised production of heroin (not insignificant amounts),x,2.0,0.0,2.0,unauthorised trafficking of cannabis and preparations thereof (not insignificant amounts),x,3852.0,823.0,3029.0,"negligently causing another's death by handing over, etc. of drugs (sect. 30 (1) no. 3 NCA)",x,23.0,1.0,22.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,x,22571.0,11098.0,11473.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",x,375.0,25.0,350.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,282.0,19.0,263.0,"smuggling of methamphetamine in powder, crystalline or liquid form or in tablet or capsule form",X,229.0,9.0,220.0,smuggling of methamphetamine in tablet or capsule form,X,7.0,1.0,6.0,unauthorised importation of new psychoactive substances (not insignificant amounts) (NCA),X,7594,733,6861,unauthorised dispensing and possession of  new psychoactive substances (not insignificant amounts) (NCA),x,950.0,107.0,843.0
2955,unauthorised production of cocaine including crack (not insignificant amounts),m,6.0,2.0,4.0,unauthorised trafficking of other drugs (not insignificant amounts),m,425.0,55.0,370.0,unauthorised prescription and administration by physicians (Sect. 29 (1) no. 6 NCA),m,68.0,5.0,63.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,m,6031.0,1314.0,4717.0,smuggling of methamphetamine in powder or liquid form,m,22.0,2.0,20.0,smuggling of methamphetamine in powder or liquid form,M,20.0,1.0,19.0,smuggling of methamphetamine in powder or liquid form,M,18.0,3.0,15.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,M,27369.0,9664.0,17705.0,unauthorised dispensing and possession of  new psychoactive substances (not insignificant amounts) (NCA),M,763,79,684,unauthorised trafficking of new psychoactive substances (not insignificant amounts) (NCA),w,4674.0,337.0,4337.0
2956,unauthorised production of cocaine including crack (not insignificant amounts),f,0.0,0.0,0.0,unauthorised trafficking of other drugs (not insignificant amounts),f,57.0,6.0,51.0,unauthorised prescription and administration by physicians (Sect. 29 (1) no. 6 NCA),f,30.0,2.0,28.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,f,673.0,192.0,481.0,smuggling of methamphetamine in powder or liquid form,f,4.0,2.0,2.0,smuggling of methamphetamine in powder or liquid form,W,3.0,0.0,3.0,smuggling of methamphetamine in powder or liquid form,W,6.0,0.0,6.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,W,2717.0,751.0,1966.0,unauthorised dispensing and possession of  new psychoactive substances (not insignificant amounts) (NCA),W,142,18,124,unauthorised trafficking of new psychoactive substances (not insignificant amounts) (NCA),f,1146.0,123.0,1023.0
2957,unauthorised production of cocaine including crack (not insignificant amounts),x,6.0,2.0,4.0,unauthorised trafficking of other drugs (not insignificant amounts),x,482.0,61.0,421.0,unauthorised prescription and administration by physicians (Sect. 29 (1) no. 6 NCA),x,98.0,7.0,91.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,x,6704.0,1506.0,5198.0,smuggling of methamphetamine in powder or liquid form,x,26.0,4.0,22.0,smuggling of methamphetamine in powder or liquid form,X,23.0,1.0,22.0,smuggling of methamphetamine in powder or liquid form,X,24.0,3.0,21.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,X,30086.0,10415.0,19671.0,unauthorised dispensing and possession of  new psychoactive substances (not insignificant amounts) (NCA),X,905,97,808,unauthorised trafficking of new psychoactive substances (not insignificant amounts) (NCA),m,5820.0,460.0,5360.0
2958,unauthorised production of LSD (not insignificant amounts),m,4.0,0.0,4.0,unauthorised production pursuant to sect. 29a (1) no. 2 NCA (not insignificant amounts),m,761.0,46.0,715.0,"unauthorised trafficking, production of, dispensing, and possession of drugs (Sect. 29a (1) no. 2 NCA) (significant amount)",m,10485.0,1650.0,8835.0,unauthorised trafficking and smuggling of other drugs,m,3322.0,783.0,2539.0,smuggling of methamphetamine in crystalline form (crystal),m,275.0,17.0,258.0,smuggling of methamphetamine in crystalline form (crystal),M,198.0,8.0,190.0,smuggling of methamphetamine in crystalline form (crystal),M,156.0,4.0,152.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,M,20543.0,8686.0,11857.0,unauthorised trafficking of new psychoactive substances (not insignificant amounts) (NCA),M,5152,392,4760,unauthorised production of  new psychoactive substances (not insignificant amounts) (NCA),x,258.0,63.0,195.0
2959,unauthorised production of LSD (not insignificant amounts),f,0.0,0.0,0.0,unauthorised production pursuant to sect. 29a (1) no. 2 NCA (not insignificant amounts),f,98.0,8.0,90.0,"unauthorised trafficking, production of, dispensing, and possession of drugs (Sect. 29a (1) no. 2 NCA) (significant amount)",f,1232.0,149.0,1083.0,unauthorised trafficking and smuggling of other drugs,f,469.0,85.0,384.0,smuggling of methamphetamine in crystalline form (crystal),f,73.0,4.0,69.0,smuggling of methamphetamine in crystalline form (crystal),W,55.0,5.0,50.0,smuggling of methamphetamine in crystalline form (crystal),W,47.0,2.0,45.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,W,1835.0,600.0,1235.0,unauthorised trafficking of new psychoactive substances (not insignificant amounts) (NCA),W,1293,153,1140,unauthorised production of  new psychoactive substances (not insignificant amounts) (NCA),f,66.0,29.0,37.0
2960,unauthorised production of LSD (not insignificant amounts),x,4.0,0.0,4.0,unauthorised production pursuant to sect. 29a (1) no. 2 NCA (not insignificant amounts),x,859.0,54.0,805.0,"unauthorised trafficking, production of, dispensing, and possession of drugs (Sect. 29a (1) no. 2 NCA) (significant amount)",x,11717.0,1799.0,9918.0,unauthorised trafficking and smuggling of other drugs,x,3791.0,868.0,2923.0,smuggling of methamphetamine in crystalline form (crystal),x,348.0,21.0,327.0,smuggling of methamphetamine in crystalline form (crystal),X,253.0,13.0,240.0,smuggling of methamphetamine in crystalline form (crystal),X,203.0,6.0,197.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,X,22378.0,9286.0,13092.0,unauthorised trafficking of new psychoactive substances (not insignificant amounts) (NCA),X,6445,545,5900,unauthorised production of  new psychoactive substances (not insignificant amounts) (NCA),w,324.0,92.0,232.0
2961,unauthorised production of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),m,54.0,2.0,52.0,unauthorised production of heroin (not insignificant amounts),m,4.0,0.0,4.0,unauthorised dispensing and possession (Sect. 29a (1) no. 2 NCA) (not insignificant amount),m,2220.0,405.0,1815.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,m,3074.0,760.0,2314.0,smuggling of methamphetamine in tablet or capsule form,m,3.0,0.0,3.0,smuggling of methamphetamine in tablet or capsule form,M,5.0,4.0,1.0,smuggling of methamphetamine in tablet or capsule form,M,2.0,0.0,2.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,M,6889.0,995.0,5894.0,unauthorised production of  new psychoactive substances (not insignificant amounts) (NCA),M,263,63,200,general violation - involving cannabis and preparations thereof,m,127915.0,36000.0,91915.0
2962,unauthorised production of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),f,5.0,0.0,5.0,unauthorised production of heroin (not insignificant amounts),f,0.0,0.0,0.0,unauthorised dispensing and possession (Sect. 29a (1) no. 2 NCA) (not insignificant amount),f,288.0,37.0,251.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,f,419.0,78.0,341.0,smuggling of methamphetamine in tablet or capsule form,f,0.0,0.0,0.0,smuggling of methamphetamine in tablet or capsule form,W,2.0,1.0,1.0,smuggling of methamphetamine in tablet or capsule form,W,0.0,0.0,0.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,W,885.0,153.0,732.0,unauthorised production of  new psychoactive substances (not insignificant amounts) (NCA),W,54,29,25,general violation - involving cannabis and preparations thereof,f,17136.0,6428.0,10708.0
2963,unauthorised production of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),x,59.0,2.0,57.0,unauthorised production of heroin (not insignificant amounts),x,4.0,0.0,4.0,unauthorised dispensing and possession (Sect. 29a (1) no. 2 NCA) (not insignificant amount),x,2508.0,442.0,2066.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,x,3493.0,838.0,2655.0,smuggling of methamphetamine in tablet or capsule form,x,3.0,0.0,3.0,smuggling of methamphetamine in tablet or capsule form,X,7.0,5.0,2.0,smuggling of methamphetamine in tablet or capsule form,X,2.0,0.0,2.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,X,7774.0,1148.0,6626.0,unauthorised production of  new psychoactive substances (not insignificant amounts) (NCA),X,317,92,225,general violation - involving cannabis and preparations thereof,x,145051.0,42428.0,102623.0
2964,"unauthorised production of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",m,38.0,2.0,36.0,unauthorised production of cocaine including crack (not insignificant amounts),m,1.0,0.0,1.0,unauthorised dispensing and possession of heroin (not insignificant amount),m,168.0,10.0,158.0,smuggling (sect. 29 NCA) - of other drugs,m,251.0,23.0,228.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,m,26200.0,11444.0,14756.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,M,26483.0,11027.0,15456.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,M,26804.0,10519.0,16285.0,unauthorised trafficking and smuggling of other drugs,M,3726.0,845.0,2881.0,general violation - involving cannabis and preparations thereof,M,130237,39614,90623,general violation - involving other drugs,w,11751.0,2159.0,9592.0
